id,name,company_type,locations,quality,company_size(upper limit),follower_count,high_concept,markets,angellist_url
1191882,FundsIndia,E-Commerce,Chennai,2,500,3,"An Innovative, Cost-free Portal for Your Investments","Investment Management, E-Commerce Platforms, Personal Finance, Technology",https://angel.co/fundsindia-2
1191134,Catering Karma,Food,New Delhi,2,50,1,It is Catering Market place in India.,Catering,https://angel.co/catering-karma
1191058,Creaa Designs,IT,Mumbai,2,10,1,Achieving deadlines and satisfying customers,Clean Technology IT,https://angel.co/creaa-designs-1
1190665,Kaarvaan Solutions,E-Commerce,Bangalore,2,50,1,Creating value and bringing change by connecting people to their folklore,"Mobile, Social Media, E-Commerce",https://angel.co/kaarvaan-solutions
1190540,Geeks of Gaming,Games,Bangalore,3,50,1,An innovative gaming company aimed to introduce new game mechanics,"Games, Video Games, Mobile Games",https://angel.co/geeks-of-gaming
1189939,Phoenix Compliance,Healthcare Technology,Bangalore,2,200,1,"Healthcare Entities can go paperless,Physician can earn more","Health Care, Health Care Information Technology, Health Care Services",https://angel.co/phoenix-compliance
1189916,Mindflames media,Games,Noida,2,10,1,Amazing,"Product Design, Mobile Games, Animation",https://angel.co/mindflames-media
1189139,Xtage Labs,Marketing,New Delhi,3,50,3,Data Science related products and services for organisations to take better decisions,"Digital Media, Telecommunications, Nonprofits, Banking",https://angel.co/xtage-labs
1188841,Flobox,E-Commerce,New Delhi,3,10,1,Monthly subscription box for women,"E-Commerce, Consumer Goods, Women-Focused, Subscription Businesses",https://angel.co/flobox-1
1188814,Mean Metal Motors,Automotive,Bangalore,3,50,2,Premium Performance Electric Vehicles.,"Clean Energy, Automotive, Electric Vehicles, Hybrid Vehicles",https://angel.co/mean-metal-motors-2
1188783,Jobs Galore,HR,Bangalore,2,10,1,One Stop Shop for Career Advice,"Career Management, Career Planning",https://angel.co/jobs-galore-1
1188775,Shoppeley,E-Commerce,Kochi,2,10,1,e-commerce-platforms,E-Commerce Platforms,https://angel.co/shoppeley
1188758,Gooseberry Holiday Homes,Housing,Mumbai,2,10,1,Travelling Redefined,Rental Housing,https://angel.co/gooseberry-holiday-homes-2
1188757,Travel Insurance - Policybazaar,Finance,Gurgaon,2,1000,1,Insurance & Finance,"Finance, Insurance",https://angel.co/travel-insurance-policybazaar
1188746,pumpkart,E-Commerce,Bangalore,2,50,1,Pumpkart has been envisioned to be the No.1 company in next 5 years.,E-Commerce Platforms,https://angel.co/pumpkart-1
1188665,Official Gates Technologies,Mobile,Bangalore,2,50,1,Mobile App Development,"Mobile, Android, Web Development, Mobile Application",https://angel.co/official-gates-technologies
1188653,Osar Technologies,E-Commerce,Pune,3,50,1,Corporate Gifts,"E-Commerce, Local Businesses, Mobile Application, Employee Management",https://angel.co/osar-technologies
1188594,doodleblue innovations,Mobile,Chennai,2,500,1,App development company,Mobile Application,https://angel.co/doodleblue-innovations
1188562,QuickShift.in,Software,Pune,3,50,1,Tech logistics,"Logistics, Internet of Things, Logistics Software, Consumer ",https://angel.co/quickshift-in-1
1188561,Speis,E-Commerce,New Delhi,3,10,1,Connecting Brands and Shoppers with each other via Great Content,"E-Commerce, Mobile Commerce, Content Discovery, Content Marketing",https://angel.co/speis
1188552,ExploreOutLoud.com,Marketing,New Delhi,2,10,2,Travel.Food.Love,"Social Media Marketing, Content Creators",https://angel.co/exploreoutloud-com
1188448,SecondScreen,Aerospace,Bangalore,3,10,1,Wireless Inflight Entertainment,"Aerospace, Travel & Tourism, Ecommerce, Maritime Entrepreneurship",https://angel.co/secondscreen-1
1188302,Fifth Gear Ventures,Automotive,New Delhi,2,50,1,Online auto portal for Cars and Bikes,Automotive,https://angel.co/fifth-gear-ventures-ltd-ndtv-venture
1188276,Karmyo,Mobile,Mumbai,3,50,1,"An intelligent mobile based platform, share relevant opportunities to give back to society","Mobile, Website",https://angel.co/karmyo
1187616,Liveongo-Artivatic,AI,Bangalore,2,50,0,"AI focused Instant, Predictive & Personalize Intelligent Interface platform in Real Time ",Artificial Intelligence,https://angel.co/liveongo-artivatic
1186777,i&We Engagements ,Education,Calcutta,3,50,7,Education Technology with a Touch Of Human Leveraged scalability,"Education, New Product Development, Skill Assessment, Rapid Prototyping",https://angel.co/i-we-engagements-1
1186099,Vheeler,Marketing,New Delhi,3,10,2,Hyperlocal Digital Out Of Home Advertising via Transit Media,"Digital Media, Advertising, Sales and Marketing, Technology, Direct Sales, Sales, Out Of Home Advertising Market",https://angel.co/vheeler-1
1186074,ukhaad,Education,New Delhi,3,10,2,Solutions provider for 'makers',"Education, Electronics, DIY, Teaching STEM Concepts",https://angel.co/ukhaad
1185966,BreakInterview.com,Education,New Delhi,2,10,1,E-Learning,English Speaking World,https://angel.co/breakinterview_com
1185570,Sproutlogix,Web Development,Pune,3,10,1,Premier Software Services and Product Development firm,"Business Intelligence, Business Development, Web Development",https://angel.co/sproutlogix
1185510,Artivatic Hiring ,AI,Bangalore,2,10,0,"AI focused Instant, Predictive & Personalize Intelligent Interface platform in Real Time ","Intelligent Systems, Artificial Intelligence",https://angel.co/artivatic-hiring
